paragraph_id,anchor_text,link_type
beverlyhillscop_paragraph_0000004,community portal,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000003,Axel Foley,internal
beverlyhillscop_paragraph_0000003,Eddie Murphy,internal
beverlyhillscop_paragraph_0000003,Beverly Hills,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000003,Billy Rosewood,internal
beverlyhillscop_paragraph_0000003,Judge Reinhold,internal
beverlyhillscop_paragraph_0000003,John Taggart,internal
beverlyhillscop_paragraph_0000003,John Ashton,internal
beverlyhillscop_paragraph_0000004,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000004,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000005,Detroit,internal
beverlyhillscop_paragraph_0000005,Axel Foley,internal
beverlyhillscop_paragraph_0000005,Eddie Murphy,internal
beverlyhillscop_paragraph_0000005,Beverly Hills,internal
beverlyhillscop_paragraph_0000005,Jenny Summers,internal
beverlyhillscop_paragraph_0000005,Lisa Eilbacher,internal
beverlyhillscop_paragraph_0000005,Victor Maitland,internal
beverlyhillscop_paragraph_0000005,Steven Berkoff,internal
beverlyhillscop_paragraph_0000005,Lt. Bogomil,internal
beverlyhillscop_paragraph_0000005,Ronny Cox,internal
beverlyhillscop_paragraph_0000005,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000007,Eddie Murphy,internal
beverlyhillscop_paragraph_0000007,Beverly Hills,internal
beverlyhillscop_paragraph_0000007,Foley,internal
beverlyhillscop_paragraph_0000007,Billy Rosewood,internal
beverlyhillscop_paragraph_0000007,Judge Reinhold,internal
beverlyhillscop_paragraph_0000007,Jon Flint,internal
beverlyhillscop_paragraph_0000007,Héctor Elizondo,internal
beverlyhillscop_paragraph_0000007,Orrin Sanderson,internal
beverlyhillscop_paragraph_0000008,Axel Foley,internal
beverlyhillscop_paragraph_0000008,Eddie Murphy,internal
beverlyhillscop_paragraph_0000008,Beverly Hills,internal
beverlyhillscop_paragraph_0000008,Billy Rosewood,internal
beverlyhillscop_paragraph_0000008,Judge Reinhold,internal
beverlyhillscop_paragraph_0000008,John Taggart,internal
beverlyhillscop_paragraph_0000008,John Ashton,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Serge,internal
beverlyhillscop_paragraph_0000001,Jeffrey,internal
beverlyhillscop_paragraph_0000001,Detroit,internal
beverlyhillscop_paragraph_0000001,Michigan,internal
beverlyhillscop_paragraph_0000001,USA,internal
beverlyhillscop_paragraph_0000001,Detroit Police Department,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000001,Jane Saunders,internal
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000002,Eddie Murphy,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000003,Inspector Todd,internal
beverlyhillscop_paragraph_0000003,"Michael ""Mikey"" Tandino",internal
beverlyhillscop_paragraph_0000004,Zack,internal
beverlyhillscop_paragraph_0000004,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000004,Billy Rosewood,internal
beverlyhillscop_paragraph_0000004,John Taggart,internal
beverlyhillscop_paragraph_0000005,Jenny Summers,internal
beverlyhillscop_paragraph_0000005,Victor Maitland,internal
beverlyhillscop_paragraph_0000006,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000006,Harold Lutz,internal
beverlyhillscop_paragraph_0000006,Maxwell Dent,internal
beverlyhillscop_paragraph_0000006,Karla Fry,internal
beverlyhillscop_paragraph_0000006,Nikos Thomopolis,internal
beverlyhillscop_paragraph_0000006,Charles Cain,internal
beverlyhillscop_paragraph_0000007,Douglas Todd,internal
beverlyhillscop_paragraph_0000007,Wonder World,internal
beverlyhillscop_paragraph_0000007,Beverly Hills,internal
beverlyhillscop_paragraph_0000007,California,internal
beverlyhillscop_paragraph_0000007,Steve Fulbright,internal
beverlyhillscop_paragraph_0000008,"Jonathan ""Jon"" Flint",internal
beverlyhillscop_paragraph_0000008,"Dave ""Uncle Dave"" Thornton",internal
beverlyhillscop_paragraph_0000008,Ellis DeWald,internal
beverlyhillscop_paragraph_0000008,Beverly Hills Cop jacket,other
beverlyhillscop_paragraph_0000009,Janice Perkins,internal
beverlyhillscop_paragraph_0000012,Jeffrey Friedman,internal
beverlyhillscop_paragraph_0000012,Jane Saunders,internal
beverlyhillscop_paragraph_0000012,Beverly Hills,internal
beverlyhillscop_paragraph_0000012,Sam Enriquez,internal
beverlyhillscop_paragraph_0000012,Billy Rosewood,internal
beverlyhillscop_paragraph_0000012,Bobby Abbott,internal
beverlyhillscop_paragraph_0000013,John Taggart,internal
beverlyhillscop_paragraph_0000013,Cade Grant,internal
beverlyhillscop_paragraph_0000014,Serge,internal
beverlyhillscop_paragraph_0000014,Chalino Valdemoro,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,California,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000001,Judge Reinhold,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,Judge Reinhold,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000004,second film,internal
beverlyhillscop_paragraph_0000004,Axel Foley,internal
beverlyhillscop_paragraph_0000004,John Taggart,internal
beverlyhillscop_paragraph_0000004,Victor Maitland,internal
beverlyhillscop_paragraph_0000004,Michael Tandino,internal
beverlyhillscop_paragraph_0000006,Jon Flint,internal
beverlyhillscop_paragraph_0000006,Ellis DeWald,internal
beverlyhillscop_paragraph_0000006,Uncle Dave,internal
beverlyhillscop_paragraph_0000008,Jane Saunders,internal
beverlyhillscop_paragraph_0000009,Beverly Hills,internal
beverlyhillscop_paragraph_0000010,Bobby Abbott,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,California,internal
beverlyhillscop_paragraph_0000001,USA,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000002,Billy Rosewood,internal
beverlyhillscop_paragraph_0000002,Ellis DeWald,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Martin Brest,internal
beverlyhillscop_paragraph_0000001,Daniel Petrie Jr.,internal
beverlyhillscop_paragraph_0000001,Danilo Bach,internal
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000002,Eddie Murphy,internal
beverlyhillscop_paragraph_0000002,Martin Brest,internal
beverlyhillscop_paragraph_0000002,Daniel Petrie Jr.,internal
beverlyhillscop_paragraph_0000002,Danilo Bach,internal
beverlyhillscop_paragraph_0000004,Axel Foley,internal
beverlyhillscop_paragraph_0000004,Detroit Police Department,internal
beverlyhillscop_paragraph_0000005,Jeffrey Friedman,internal
beverlyhillscop_paragraph_0000005,Douglas Todd,internal
beverlyhillscop_paragraph_0000006,Mikey Tandino,internal
beverlyhillscop_paragraph_0000007,Beverly Hills,internal
beverlyhillscop_paragraph_0000007,California,internal
beverlyhillscop_paragraph_0000007,Jenny Summers,internal
beverlyhillscop_paragraph_0000008,Zack,internal
beverlyhillscop_paragraph_0000008,Casey,internal
beverlyhillscop_paragraph_0000010,Beverly Hills,internal
beverlyhillscop_paragraph_0000011,Serge,internal
beverlyhillscop_paragraph_0000011,Victor Maitland,internal
beverlyhillscop_paragraph_0000013,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000013,John Taggart,internal
beverlyhillscop_paragraph_0000013,Billy Rosewood,internal
beverlyhillscop_paragraph_0000013,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000014,Jenny,internal
beverlyhillscop_paragraph_0000027,Zack,internal
beverlyhillscop_paragraph_0000030,Serge,internal
beverlyhillscop_paragraph_0000032,Zack,internal
beverlyhillscop_paragraph_0000032,Casey,internal
beverlyhillscop_paragraph_0000054,Beverly Hills Cop (franchise),internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Police,internal
beverlyhillscop_paragraph_0000001,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,California,internal
beverlyhillscop_paragraph_0000001,USA,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000001,John Ashton,internal
beverlyhillscop_paragraph_0000002,series,internal
beverlyhillscop_paragraph_0000003,Billy Rosewood,internal
beverlyhillscop_paragraph_0000003,Axel Foley,internal
beverlyhillscop_paragraph_0000003,Victor Maitland,internal
beverlyhillscop_paragraph_0000003,Michael Tandino,internal
beverlyhillscop_paragraph_0000004,Beverly Hills,internal
beverlyhillscop_paragraph_0000004,Inspector,internal
beverlyhillscop_paragraph_0000004,Billy Rosewood,internal
beverlyhillscop_paragraph_0000004,Jon Flint,internal
beverlyhillscop_paragraph_0000005,Sam Enriquez,internal
beverlyhillscop_paragraph_0000005,Axel Foley,internal
beverlyhillscop_paragraph_0000005,his daughter,internal
beverlyhillscop_paragraph_0000005,Billy,internal
beverlyhillscop_paragraph_0000005,Grant,internal
beverlyhillscop_paragraph_0000005,Bobby Abbott,internal
beverlyhillscop_paragraph_0000010,Billy Rosewood,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Jenny Summers,internal
beverlyhillscop_paragraph_0000001,Mikey Tandino,internal
beverlyhillscop_paragraph_0000001,Zack,internal
beverlyhillscop_paragraph_0000001,Steven Berkoff,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000003,Beverly Hills,internal
beverlyhillscop_paragraph_0000004,Jenny Summers,internal
beverlyhillscop_paragraph_0000004,Michael Tandino,internal
beverlyhillscop_paragraph_0000004,Axel Foley,internal
beverlyhillscop_paragraph_0000004,Zack,internal
beverlyhillscop_paragraph_0000005,Lieutenant Bogomil,internal
beverlyhillscop_paragraph_0000005,Sergeant Taggart,internal
beverlyhillscop_paragraph_0000005,Detective Rosewood,internal
beverlyhillscop_paragraph_0000010,Serge,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000001,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,California,internal
beverlyhillscop_paragraph_0000001,USA,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000001,Detroit Police Department,internal
beverlyhillscop_paragraph_0000001,Axel Foley,internal
beverlyhillscop_paragraph_0000001,Ronny Cox,internal
beverlyhillscop_paragraph_0000003,Ronny Cox,internal
beverlyhillscop_paragraph_0000004,Jenny Summers,internal
beverlyhillscop_paragraph_0000007,Harold Lutz,internal
beverlyhillscop_paragraph_0000007,Mayor Ted Egan,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,USA,internal
beverlyhillscop_paragraph_0000001,Timothy Carhart,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000004,Orrin Sanderson,internal
beverlyhillscop_paragraph_0000004,Steve Fulbright,internal
beverlyhillscop_paragraph_0000004,Beverly Hills,internal
beverlyhillscop_paragraph_0000004,Jon Flint,internal
beverlyhillscop_paragraph_0000004,Billy Rosewood,internal
beverlyhillscop_paragraph_0000004,Uncle Dave Thornton,internal
beverlyhillscop_paragraph_0000005,Holloway,internal
beverlyhillscop_paragraph_0000005,Detroit,internal
beverlyhillscop_paragraph_0000005,Michigan,internal
beverlyhillscop_paragraph_0000005,Axel Foley,internal
beverlyhillscop_paragraph_0000005,Douglas Todd,internal
beverlyhillscop_paragraph_0000009,Janice Perkins,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Detroit Police Department,internal
beverlyhillscop_paragraph_0000001,Gil Hill,internal
beverlyhillscop_paragraph_0000002,Axel Foley,internal
beverlyhillscop_paragraph_0000002,Detroit Police Department,internal
beverlyhillscop_paragraph_0000004,Michael Tandino,internal
beverlyhillscop_paragraph_0000005,Victor Maitland,internal
beverlyhillscop_paragraph_0000005,Jenny,internal
beverlyhillscop_paragraph_0000006,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000007,Zack,internal
beverlyhillscop_paragraph_0000009,Harold Lutz,internal
beverlyhillscop_paragraph_0000010,Maxwell Dent,internal
beverlyhillscop_paragraph_0000010,Ted Egan,internal
beverlyhillscop_paragraph_0000011,Ellis DeWald,internal
beverlyhillscop_paragraph_0000013,Axel,internal
beverlyhillscop_paragraph_0000013,Beverly Hills,internal
beverlyhillscop_paragraph_0000013,Victor Maitland,internal
beverlyhillscop_paragraph_0000003,Axel Foley,internal
beverlyhillscop_paragraph_0000005,1911,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000001,Judge Reinhold,internal
beverlyhillscop_paragraph_0000001,John Ashton,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000002,Eddie Murphy,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000001,Judge Reinhold,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000006,SIG-Sauer P226,internal
beverlyhillscop_paragraph_0000003,Karla Fry,internal
beverlyhillscop_paragraph_0000003,Axel Foley,internal
beverlyhillscop_paragraph_0000003,Karla Fry,internal
beverlyhillscop_paragraph_0000003,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000003,Victor Maitland,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Maxwell Dent,internal
beverlyhillscop_paragraph_0000001,Maxwell Dent,internal
beverlyhillscop_paragraph_0000001,Brigitte Nielsen,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000004,Maxwell Dent,internal
beverlyhillscop_paragraph_0000005,"Andrew Bogomil,",internal
beverlyhillscop_paragraph_0000005,Billy Rosewood,internal
beverlyhillscop_paragraph_0000005,John Taggart,internal
beverlyhillscop_paragraph_0000009,Desert Eagle,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Dent Oil Fields,internal
beverlyhillscop_paragraph_0000001,Karla Fry,internal
beverlyhillscop_paragraph_0000001,Karla Fry,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000004,Nikos Thomopolis,internal
beverlyhillscop_paragraph_0000004,Karla,internal
beverlyhillscop_paragraph_0000004,Chip Cain,internal
beverlyhillscop_paragraph_0000005,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000005,John Taggart,internal
beverlyhillscop_paragraph_0000005,Billy Rosewood,internal
beverlyhillscop_paragraph_0000005,Harold Lutz,internal
beverlyhillscop_paragraph_0000005,Ted Egan,internal
beverlyhillscop_paragraph_0000005,Axel Foley,internal
beverlyhillscop_paragraph_0000001,Serge,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Serge's Survival Boutique,internal
beverlyhillscop_paragraph_0000001,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,California,internal
beverlyhillscop_paragraph_0000001,Bronson Pinchot,internal
beverlyhillscop_paragraph_0000002,Victor Maitland,internal
beverlyhillscop_paragraph_0000002,Serge's Survival Boutique,internal
beverlyhillscop_paragraph_0000004,Axel,internal
beverlyhillscop_paragraph_0000004,Beverly Hills,internal
beverlyhillscop_paragraph_0000004,Rosewood,internal
beverlyhillscop_paragraph_0000004,Victor Maitland,internal
beverlyhillscop_paragraph_0000004,Serge's Survival Boutique,internal
beverlyhillscop_paragraph_0000004,Annihilator 2000,internal
beverlyhillscop_paragraph_0000005,Ellis DeWald,internal
beverlyhillscop_paragraph_0000005,Annihilator 2000,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,California,internal
beverlyhillscop_paragraph_0000001,United States of America,internal
beverlyhillscop_paragraph_0000003,Axel Foley,internal
beverlyhillscop_paragraph_0000003,Detroit,internal
beverlyhillscop_paragraph_0000003,Mikey Tandino,internal
beverlyhillscop_paragraph_0000002,Axel Foley,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Axel Foley,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,franchise,internal
beverlyhillscop_paragraph_0000002,Axel Foley,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000003,Axel Foley,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Serge,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000002,Serge,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000003,Serge,internal
beverlyhillscop_paragraph_0000003,third film,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,Victor Maitland,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Billy Rosewood,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop III,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000002,Billy Rosewood,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000003,Billy Rosewood,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000002,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000003,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000003,sequel,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,John Taggart,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop II,internal
beverlyhillscop_paragraph_0000002,John Taggart,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000002,Jenny Summers,internal
beverlyhillscop_paragraph_0000002,Eddie Murphy,internal
beverlyhillscop_paragraph_0000001,Detroit,internal
beverlyhillscop_paragraph_0000001,Detroit,internal
beverlyhillscop_paragraph_0000001,Michigan,internal
beverlyhillscop_paragraph_0000002,Axel Foley,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Beverly Hills,internal
beverlyhillscop_paragraph_0000001,California,internal
beverlyhillscop_paragraph_0000002,Beverly Hills,internal
beverlyhillscop_paragraph_0000002,California,internal
beverlyhillscop_paragraph_0000002,John Taggart,internal
beverlyhillscop_paragraph_0000004,Axel Foley,internal
beverlyhillscop_paragraph_0000004,Mikey Tandino,internal
beverlyhillscop_paragraph_0000004,John Taggart,internal
beverlyhillscop_paragraph_0000004,Billy Rosewood,internal
beverlyhillscop_paragraph_0000004,Andrew Bogomil,internal
beverlyhillscop_paragraph_0000004,Victor Maitland,internal
beverlyhillscop_paragraph_0000005,Douglas Todd,internal
beverlyhillscop_paragraph_0000005,Axel Foley,internal
beverlyhillscop_paragraph_0000005,Billy Rosewood,internal
beverlyhillscop_paragraph_0000005,Jon Flint,internal
beverlyhillscop_paragraph_0000005,Taggart,internal
beverlyhillscop_paragraph_0000005,Ellis DeWald,internal
beverlyhillscop_paragraph_0000002,Jon Flint,internal
